ID,Account,Date,Description,Amount
8853d72ca6a8c15d21f28368c3797149cbde4b7b,Scotia Chequing,4/20/2026,mortgage payment,-1512.14,cad
d70f08f9a4fb3fb862d98aae578ec773b4cb8e43,Scotia Chequing,3/20/2026,mortgage payment,-48.00,cad
30e1a7ec34f7b24b0a3665780f21475a86ef24ea,Scotia Chequing,3/19/2026,deposit,5000.00,cad
d619758c0d851121d6165e6e81c284a65a6ca9ce,Scotia Chequing,3/19/2026,mortgage payment,-1512.14,cad
6eb063f4eddeea7117c2d1d7e9a828646f3219e8,Scotia Chequing,2/23/2026,mortgage payment,-1512.14,cad
9f19cef78e019b94801cc337566eec812826ba52,Scotia Chequing,2/21/2026,customer transfer dr.,-215.10,cad
39c3c462d9fbfecfd65c175519cc5e741b90874e,Scotia Chequing,2/21/2026,deposit,2500.00,cad
ab6a470dd239a2a9bd2f9a7f94b7836978ded270,Scotia Chequing,1/20/2026,mortgage payment,-48.00,cad
03366ca04aef8a28382f079fcefc9136c5e47a61,Scotia Chequing,1/19/2026,mortgage payment,-1512.14,cad
0a2d3782670a2d3c1cdb6aa0606678c0aaca87e6,Scotia Chequing,12/30/2025,customer transfer dr.,-1.30,cad
f6927cb63c03c3ac1ee6cac5c6a63ab0d8ab9899,Scotia Chequing,12/30/2025,customer transfer dr.,-0.69,cad
e3c4512581604fab789b517efb14f32b15c1632a,Scotia Chequing,12/30/2025,deposit,1500.00,cad
e2efcc30969e38cd2202a304d30fe034d1a62997,Scotia Chequing,12/22/2025,mortgage payment,-1512.14,cad
7bdba9863842a0e3f271abf53c74a819347b9992,Scotia Chequing,12/20/2025,deposit,1500.00,cad
6f04ef257e6150a42e1f441a67447be42ff3a6a1,Scotia Chequing,12/2/2025,customer transfer dr.,-602.15,cad
22e785562c08bddfbda4ef57da819e83aab86a5c,Scotia Chequing,12/2/2025,customer transfer dr.,-50.00,cad
cbd2c4e365cd5470a6aa5113fab498cafa791367,Scotia Chequing,11/19/2025,mortgage payment,-1512.14,cad
f12026e559e41019bb20db44a08312c92e3a1bea,Scotia Chequing,11/12/2025,deposit,1515.00,cad
cb2f36c58c078e7f7ca00011e2b2ea1eab8183cc,Scotia Chequing,10/21/2025,credit memo,800.00,cad
8acfef63db96d940b37fe79eaf32cda8f7264e38,Scotia Chequing,10/21/2025,credit memo,81.05,cad
1c31248107ca6d4fa83b813f5cb2e45729a4b0c8,Scotia Chequing,10/17/2025,deposit,0.00,cad
